,State,City,PD,Black People,Hispanic People,Native American People,Asian People,Pacific Islanders,White People,Unknown Race People,Total,Black,White,Amer. Indian,Asian,Hawaiian,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
nonnegligent manslaughter",Violent crimes 2013,Violent crimes 2014,Violent crimes 2015,Violent crimes 2016,Violent crimes 2017,Violent crimes 2018,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests
29,Indiana,Fort Wayne,Fort Wayne Police Department,5,1,0,0,0,3,0,253691,38514,178436,730,8279,91,542,6899,20200,54,48,949,816,984,1040,952,1024,0,5331,5054,5365,5694,5897
30,Texas,Fort Worth,Fort Worth Police Department,9,5,0,0,0,7,7,741206,136941,309312,2481,27095,615,993,11301,252468,55,1,4440,4492,4382,4515,5359,4835,32694,19452,26640,24587,23168,19863
31,California,Fremont,Fremont Police Department,1,1,0,2,0,1,2,214089,6743,56766,458,107679,1064,388,9293,31698,22,47,273,284,337,420,431,502,2913,3040,2566,2422,2405,2741
32,California,Fresno,Fresno Police Department,1,15,0,2,0,4,1,494665,37885,148598,3127,60939,663,984,10414,232055,42,5,2552,2382,2871,3206,2974,2953,30580,32118,25068,19212,19070,22527
33,Texas,Garland,Garland Police Department,2,1,0,1,0,3,1,226876,32164,83259,789,21162,65,308,3345,85784,25,13,514,644,709,767,748,659,8597,8147,7561,6973,6958,7060
34,Arizona,Glendale,Glendale Police Department,2,3,0,0,0,5,0,226721,12766,116866,2707,8618,355,329,4579,80501,39,23,905,186,943,1204,1217,1167,4530,3477,3692,0,2949,5405
35,North Carolina,Greensboro,Greensboro Police Department,1,0,0,1,0,1,0,269666,108233,122888,1096,10711,128,703,5571,20336,57,3,1449,1346,1707,0,0,0,18013,16273,13601,11536,13247,10665
36,Nevada,Henderson,Henderson Police Department,1,2,0,0,0,3,1,257729,12471,177039,1182,18172,1354,479,8655,38377,21,6,367,452,476,617,554,583,9279,9139,8954,9846,9414,12111
37,Florida,Hialeah,Hialeah Police Department,1,2,0,0,0,1,0,224669,6066,9511,73,697,2,119,253,69599,42,16,774,782,767,580,473,533,9403,8456,7950,7153,5026,6160
38,Hawaii,Honolulu,Honolulu Police Department,0,3,0,1,10,4,2,953206,26690,171577,517,409879,91508,0,215424,95321,30,242,0,0,2437,3331,2440,2451,0,0,0,0,0,0
39,Texas,Houston,Houston Police Department,34,20,0,1,0,11,4,2099451,485956,537901,3528,124859,711,4128,22700,919668,69,136,20993,22008,21994,23960,25609,24062,85551,65821,56317,57867,47449,43036
40,Indiana,Indianapolis,Indianapolis Metropolitan Police Department,16,0,0,0,0,10,0,820445,223053,480960,1760,17053,274,2123,17870,77352,56,0,10479,10768,11124,11907,11616,11170,39493,33825,39620,37235,40668,34286
41,California,Irvine,Irvine Police Department,0,0,0,0,0,0,0,212375,3494,95822,199,82722,295,554,9668,19621,19,5,113,120,144,152,169,160,2742,2500,2988,3337,2782,2064
42,Texas,Irving,Irving Police Department,2,2,0,1,0,2,0,216290,25550,66559,807,30161,221,434,3591,88967,37,96,530,512,469,521,549,510,10329,7077,5831,5281,5464,5854
43,Florida,Jacksonville,Jacksonville Sheriff's Office,20,0,0,0,0,16,3,821784,247516,452525,2687,34731,668,1949,18223,63485,48,24,5246,5853,5622,5504,5648,5381,25922,25439,25969,24883,24313,26230
44,New Jersey,Jersey City,Jersey City Police Department,8,0,0,0,0,0,0,247597,59060,53236,586,58106,95,2423,5835,68256,59,78,1655,1381,1383,1276,1365,1233,8239,7334,7670,7732,6071,2972
45,Missouri,Kansas City Missouri,Kansas City Police Department,17,0,0,0,1,7,3,459787,135916,252257,1823,11275,787,709,11067,45953,62,14,5864,5862,6709,7915,8362,7842,11828,12336,10886,10629,10710,10796
46,Texas,Laredo,Laredo Police Department,0,7,0,0,0,1,0,236091,478,8086,87,1313,11,121,245,225750,29,122,1027,976,972,940,839,890,8202,8125,8196,6945,4564,5991
